"team","week","group","first.seen","last.seen","status","time.diff","severity","vuln.date","week.end","id"
"1",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2019-04-01",53,1
"1",1,"Test Team 1",2020-01-07,2020-01-14,1,7,"Critical","2019-06-07",2,2
"1",1,"Test Team 1",2020-01-07,2020-03-10,1,63,"High","2019-05-24",10,3
"1",1,"Test Team 1",2020-01-05,2021-01-01,0,362,"High","2016-07-04",53,4
"1",1,"Test Team 1",2020-01-05,2020-03-03,1,58,"Critical","2019-11-15",9,5
"1",1,"Test Team 1",2020-01-07,2020-07-28,1,203,"High","2017-11-17",30,6
"1",1,"Test Team 1",2020-01-07,2020-01-14,1,7,"Critical","2019-06-12",2,7
"1",1,"Test Team 1",2020-01-05,2020-02-16,1,42,"Critical","2019-10-14",7,8
"1",1,"Test Team 1",2020-01-05,2020-04-07,1,93,"High","2019-10-24",14,9
"1",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2017-04-22",53,10
"1",1,"Test Team 1",2020-01-05,2021-01-01,0,362,"High","2019-08-08",53,11
"1",1,"Test Team 1",2020-01-07,2020-01-15,1,8,"High","2019-10-13",3,12
"1",1,"Test Team 1",2020-01-07,2020-01-13,1,6,"Critical","2019-03-27",2,13
"1",1,"Test Team 1",2020-01-07,2020-01-14,1,7,"Critical","2015-10-17",2,14
"2",1,"Test Team 1",2020-01-06,2020-07-13,1,189,"High","2019-09-07",28,15
"2",1,"Test Team 1",2020-01-07,2020-02-11,1,35,"High","2019-04-22",6,16
"2",1,"Test Team 1",2020-01-07,2020-08-18,1,224,"High","2019-03-30",33,17
"2",1,"Test Team 1",2020-01-07,2020-11-03,1,301,"Critical","2019-01-26",44,18
"2",1,"Test Team 1",2020-01-07,2020-03-10,1,63,"Critical","2018-07-07",10,19
"2",1,"Test Team 1",2020-01-07,2020-06-07,1,152,"Critical","2019-11-28",23,20
"2",1,"Test Team 1",2020-01-07,2020-01-15,1,8,"Critical","2019-10-26",3,21
"2",1,"Test Team 1",2020-01-05,2020-10-20,1,289,"Critical","2019-09-04",42,22
"2",1,"Test Team 1",2020-01-07,2020-01-28,1,21,"Critical","2016-01-17",4,23
"2",1,"Test Team 1",2020-01-07,2020-06-16,1,161,"Critical","2019-01-15",24,24
"2",1,"Test Team 1",2020-01-07,2020-05-12,1,126,"High","2019-01-16",19,25
"2",1,"Test Team 1",2020-01-07,2020-12-22,1,350,"Critical","2019-05-01",51,26
"2",1,"Test Team 1",2020-01-07,2020-04-28,1,112,"Critical","2019-03-11",17,27
"2",1,"Test Team 1",2020-01-05,2020-06-28,1,175,"Critical","2019-10-11",26,28
"2",1,"Test Team 1",2020-01-07,2020-09-01,1,238,"High","2019-08-08",35,29
"2",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"High","2018-10-15",53,30
"2",1,"Test Team 1",2020-01-07,2020-04-28,1,112,"High","2019-09-28",17,31
"2",1,"Test Team 1",2020-01-07,2020-11-17,1,315,"High","2017-05-10",46,32
