"team","week","group","first.seen","last.seen","status","time.diff","severity","vuln.date","week.end","id"
"1",1,"Test Team 1",2020-01-07,2020-01-08,1,1,"Critical","2019-08-01",2,1
"1",1,"Test Team 1",2020-01-07,2020-01-14,1,7,"Critical","2018-08-25",2,2
"1",1,"Test Team 1",2020-01-07,2020-05-31,1,145,"High","2017-12-24",22,3
"1",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-08-22",1,4
"1",1,"Test Team 1",2020-01-06,2020-01-07,1,1,"Critical","2018-02-08",1,5
"1",1,"Test Team 1",2020-01-05,2020-01-08,1,3,"Critical","2019-04-18",2,6
"1",1,"Test Team 1",2020-01-06,2020-01-08,1,2,"Critical","2019-12-09",2,7
"1",1,"Test Team 1",2020-01-07,2020-06-30,1,175,"Critical","2019-08-17",26,8
"1",1,"Test Team 1",2020-01-07,2020-02-18,1,42,"High","2019-10-02",7,9
"1",1,"Test Team 1",2020-01-07,2020-01-26,1,19,"Critical","2019-12-28",4,10
"1",1,"Test Team 1",2020-01-05,2020-01-05,1,0,"Critical","2018-07-31",1,11
"1",1,"Test Team 1",2020-01-07,2020-08-11,1,217,"High","2016-11-08",32,12
"1",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Extreme","2019-12-01",1,13
"1",1,"Test Team 1",2020-01-06,2020-11-17,1,316,"High","2019-05-11",46,14
"1",1,"Test Team 1",2020-01-07,2020-04-27,1,111,"High","2019-02-20",17,15
"1",1,"Test Team 1",2020-01-07,2020-01-14,1,7,"Critical","2019-01-13",2,16
"1",1,"Test Team 1",2020-01-07,2020-01-14,1,7,"High","2019-10-15",2,17
"1",1,"Test Team 1",2020-01-06,2020-04-14,1,99,"Critical","2019-10-19",15,18
"1",1,"Test Team 1",2020-01-07,2020-03-09,1,62,"High","2019-11-27",10,19
"1",1,"Test Team 1",2020-01-07,2020-01-28,1,21,"Critical","2019-09-30",4,20
"1",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"High","2019-07-09",1,21
"1",1,"Test Team 1",2020-01-05,2020-01-05,1,0,"Extreme","2019-02-03",1,22
"2",1,"Test Team 1",2020-01-07,2020-02-11,1,35,"High","2019-07-26",6,23
"2",1,"Test Team 1",2020-01-07,2020-01-12,1,5,"Critical","2019-07-16",2,24
"2",1,"Test Team 1",2020-01-07,2020-05-05,1,119,"Critical","2019-07-11",18,25
"2",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-12-04",1,26
"2",1,"Test Team 1",2020-01-07,2020-05-12,1,126,"High","2018-07-23",19,27
"2",1,"Test Team 1",2020-01-07,2020-02-11,1,35,"High","2017-01-24",6,28
"2",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-11-05",1,29
"2",1,"Test Team 1",2020-01-05,2020-01-07,1,2,"Critical","2019-10-23",1,30
"2",1,"Test Team 1",2020-01-07,2020-01-27,1,20,"Critical","2019-03-14",4,31
"2",1,"Test Team 1",2020-01-07,2020-01-14,1,7,"Extreme","2019-02-23",2,32
"2",1,"Test Team 1",2020-01-05,2020-04-26,1,112,"High","2019-08-19",17,33
"3",1,"Test Team 1",2020-01-05,2020-03-10,1,65,"High","2019-08-05",10,34
"3",1,"Test Team 1",2020-01-07,2020-01-13,1,6,"Critical","2019-12-07",2,35
"3",1,"Test Team 1",2020-01-07,2020-11-23,1,321,"High","2019-05-03",47,36
"3",1,"Test Team 1",2020-01-07,2020-10-11,1,278,"High","2019-07-06",41,37
"3",1,"Test Team 1",2020-01-07,2020-02-23,1,47,"Critical","2019-07-20",8,38
"3",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"High","2019-01-30",53,39
"3",1,"Test Team 1",2020-01-07,2020-01-08,1,1,"Critical","2019-03-09",2,40
"3",1,"Test Team 1",2020-01-07,2020-03-10,1,63,"Critical","2019-05-09",10,41
"3",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-08-10",1,42
"3",1,"Test Team 1",2020-01-06,2020-02-04,1,29,"Critical","2019-11-18",5,43
"3",1,"Test Team 1",2020-01-07,2020-01-14,1,7,"Critical","2016-03-31",2,44
"3",1,"Test Team 1",2020-01-07,2020-01-15,1,8,"Critical","2018-10-04",3,45
"3",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-10-27",1,46
"3",1,"Test Team 1",2020-01-06,2020-05-03,1,118,"Critical","2019-01-18",18,47
"3",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-07-16",1,48
"3",1,"Test Team 1",2020-01-07,2020-02-06,1,30,"Critical","2019-01-19",6,49
"3",1,"Test Team 1",2020-01-07,2020-02-11,1,35,"High","2019-04-07",6,50
"3",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"High","2018-12-04",53,51
"4",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-03-30",1,52
"4",1,"Test Team 1",2020-01-07,2020-02-11,1,35,"Critical","2019-06-22",6,53
"4",1,"Test Team 1",2020-01-05,2020-01-21,1,16,"Critical","2017-05-18",3,54
"4",1,"Test Team 1",2020-01-05,2021-01-01,0,362,"High","2019-08-26",53,55
"4",1,"Test Team 1",2020-01-06,2020-01-08,1,2,"Critical","2019-10-13",2,56
"4",1,"Test Team 1",2020-01-07,2020-11-24,1,322,"Critical","2019-05-05",47,57
"4",1,"Test Team 1",2020-01-06,2020-03-03,1,57,"High","2017-12-11",9,58
"4",1,"Test Team 1",2020-01-07,2020-02-04,1,28,"High","2018-12-03",5,59
"4",1,"Test Team 1",2020-01-07,2020-01-08,1,1,"Critical","2019-06-21",2,60
"4",1,"Test Team 1",2020-01-05,2020-02-05,1,31,"High","2019-02-12",6,61
"4",1,"Test Team 1",2020-01-07,2020-04-21,1,105,"High","2019-08-28",16,62
"4",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-09-03",1,63
"4",1,"Test Team 1",2020-01-07,2020-01-08,1,1,"Critical","2019-09-15",2,64
"4",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-02-01",1,65
"4",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-10-26",1,66
"4",1,"Test Team 1",2020-01-05,2020-02-25,1,51,"Critical","2019-11-18",8,67
"4",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"High","2019-01-16",53,68
"4",1,"Test Team 1",2020-01-07,2020-01-08,1,1,"Critical","2019-12-28",2,69
"4",1,"Test Team 1",2020-01-05,2020-01-06,1,1,"Critical","2019-10-16",1,70
"4",1,"Test Team 1",2020-01-07,2020-05-25,1,139,"Critical","2019-09-27",21,71
"4",1,"Test Team 1",2020-01-05,2020-01-07,1,2,"Critical","2019-04-10",1,72
"5",1,"Test Team 1",2020-01-05,2020-02-18,1,44,"High","2019-09-16",7,73
"5",1,"Test Team 1",2020-01-06,2020-05-25,1,140,"Critical","2019-09-24",21,74
"5",1,"Test Team 1",2020-01-07,2020-01-14,1,7,"Critical","2017-10-19",2,75
"5",1,"Test Team 1",2020-01-07,2020-08-23,1,229,"High","2018-07-25",34,76
"5",1,"Test Team 1",2020-01-07,2020-03-31,1,84,"High","2017-02-03",13,77
"5",1,"Test Team 1",2020-01-06,2020-04-07,1,92,"High","2019-12-08",14,78
"5",1,"Test Team 1",2020-01-07,2020-01-28,1,21,"Critical","2019-02-21",4,79
"5",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2019-01-25",53,80
"5",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"High","2019-04-22",53,81
"5",1,"Test Team 1",2020-01-05,2020-04-27,1,113,"Critical","2018-10-15",17,82
"5",1,"Test Team 1",2020-01-07,2020-10-04,1,271,"Critical","2019-01-14",40,83
"5",1,"Test Team 1",2020-01-07,2020-01-13,1,6,"Critical","2019-06-15",2,84
"5",1,"Test Team 1",2020-01-05,2020-01-21,1,16,"Critical","2019-10-13",3,85
"5",1,"Test Team 1",2020-01-07,2020-04-27,1,111,"High","2019-03-02",17,86
"5",1,"Test Team 1",2020-01-07,2020-01-12,1,5,"Critical","2019-01-14",2,87
"5",1,"Test Team 1",2020-01-05,2021-01-01,0,362,"Critical","2019-11-29",53,88
"5",1,"Test Team 1",2020-01-07,2020-02-24,1,48,"Critical","2019-12-27",8,89
"5",1,"Test Team 1",2020-01-07,2020-10-06,1,273,"Critical","2019-02-04",40,90
"5",1,"Test Team 1",2020-01-05,2020-12-01,1,331,"High","2019-05-31",48,91
"5",1,"Test Team 1",2020-01-05,2021-01-01,0,362,"Critical","2019-05-06",53,92
"6",1,"Test Team 1",2020-01-07,2020-05-05,1,119,"Critical","2019-08-06",18,93
"6",1,"Test Team 1",2020-01-07,2020-01-14,1,7,"Critical","2019-11-17",2,94
"6",1,"Test Team 1",2020-01-06,2020-05-17,1,132,"High","2016-10-19",20,95
"6",1,"Test Team 1",2020-01-05,2020-07-14,1,191,"High","2019-01-05",28,96
"6",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2019-04-29",53,97
"6",1,"Test Team 1",2020-01-05,2020-01-28,1,23,"Critical","2019-05-17",4,98
"6",1,"Test Team 1",2020-01-07,2020-03-29,1,82,"Critical","2019-05-06",13,99
"6",1,"Test Team 1",2020-01-07,2020-06-02,1,147,"Critical","2019-09-14",22,100
"6",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2018-10-30",53,101
"6",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2019-11-05",53,102
"6",1,"Test Team 1",2020-01-07,2020-01-28,1,21,"Critical","2019-04-21",4,103
"6",1,"Test Team 1",2020-01-07,2020-04-19,1,103,"Critical","2019-02-15",16,104
"6",1,"Test Team 1",2020-01-06,2020-12-21,1,350,"Critical","2019-08-19",51,105
"6",1,"Test Team 1",2020-01-05,2020-06-02,1,149,"High","2018-10-12",22,106
"7",1,"Test Team 1",2020-01-07,2020-02-04,1,28,"Critical","2018-09-16",5,107
"7",1,"Test Team 1",2020-01-07,2020-05-24,1,138,"High","2019-09-06",21,108
"7",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"High","2018-08-19",53,109
"7",1,"Test Team 1",2020-01-07,2020-01-08,1,1,"Critical","2018-05-05",2,110
"7",1,"Test Team 1",2020-01-07,2020-09-22,1,259,"High","2019-04-05",38,111
"7",1,"Test Team 1",2020-01-07,2020-03-29,1,82,"High","2019-12-30",13,112
"7",1,"Test Team 1",2020-01-07,2020-03-02,1,55,"Critical","2019-07-05",9,113
"7",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2019-06-29",53,114
"7",1,"Test Team 1",2020-01-07,2020-05-12,1,126,"High","2019-10-27",19,115
"7",1,"Test Team 1",2020-01-05,2020-02-04,1,30,"Critical","2019-11-28",5,116
"7",1,"Test Team 1",2020-01-07,2020-07-14,1,189,"High","2019-01-26",28,117
"7",1,"Test Team 1",2020-01-07,2020-04-21,1,105,"Critical","2019-08-21",16,118
"7",1,"Test Team 1",2020-01-05,2020-01-07,1,2,"Critical","2019-07-26",1,119
"7",1,"Test Team 1",2020-01-07,2020-03-03,1,56,"High","2019-12-25",9,120
"7",1,"Test Team 1",2020-01-07,2020-04-21,1,105,"Critical","2019-09-08",16,121
"7",1,"Test Team 1",2020-01-07,2020-02-03,1,27,"Critical","2019-09-28",5,122
"7",1,"Test Team 1",2020-01-07,2020-03-24,1,77,"Critical","2019-09-13",12,123
"7",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"High","2018-09-16",53,124
"7",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2019-02-25",53,125
"7",1,"Test Team 1",2020-01-06,2020-01-19,1,13,"Critical","2019-10-05",3,126
"7",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"High","2019-05-03",53,127
"7",1,"Test Team 1",2020-01-05,2020-05-10,1,126,"Critical","2019-04-08",19,128
"7",1,"Test Team 1",2020-01-07,2020-04-07,1,91,"High","2019-06-15",14,129
"7",1,"Test Team 1",2020-01-07,2020-03-24,1,77,"Critical","2019-09-06",12,130
"7",1,"Test Team 1",2020-01-05,2020-04-07,1,93,"High","2019-06-23",14,131
"7",1,"Test Team 1",2020-01-05,2020-02-04,1,30,"High","2018-12-03",5,132
"7",1,"Test Team 1",2020-01-07,2020-01-29,1,22,"Critical","2016-09-01",5,133
"7",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2017-06-29",53,134
"7",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"High","2019-12-05",53,135
"7",1,"Test Team 1",2020-01-07,2020-03-22,1,75,"High","2019-05-20",12,136
"8",1,"Test Team 1",2020-01-07,2020-01-08,1,1,"Critical","2019-09-02",2,137
"8",1,"Test Team 1",2020-01-06,2021-01-01,0,361,"High","2019-10-23",53,138
"8",1,"Test Team 1",2020-01-05,2020-01-08,1,3,"Critical","2019-07-17",2,139
"8",1,"Test Team 1",2020-01-07,2020-01-08,1,1,"Extreme","2019-10-29",2,140
"8",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2019-02-03",53,141
"8",1,"Test Team 1",2020-01-07,2020-04-21,1,105,"Critical","2019-11-20",16,142
"8",1,"Test Team 1",2020-01-05,2020-01-07,1,2,"High","2020-01-01",1,143
"8",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2019-01-16",53,144
"8",1,"Test Team 1",2020-01-05,2020-01-07,1,2,"High","2019-07-14",1,145
"8",1,"Test Team 1",2020-01-07,2020-08-19,1,225,"Critical","2019-10-07",34,146
"8",1,"Test Team 1",2020-01-07,2020-01-08,1,1,"Critical","2019-10-16",2,147
"8",1,"Test Team 1",2020-01-05,2020-01-08,1,3,"Critical","2019-08-03",2,148
"8",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"Critical","2019-06-11",53,149
"8",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-04-30",1,150
"8",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2019-02-08",1,151
"8",1,"Test Team 1",2020-01-07,2020-01-07,1,0,"Critical","2018-02-13",1,152
"8",1,"Test Team 1",2020-01-07,2020-01-15,1,8,"Critical","2019-09-22",3,153
"9",1,"Test Team 1",2020-01-05,2020-01-07,1,2,"Critical","2019-10-30",1,154
"9",1,"Test Team 1",2020-01-07,2020-05-05,1,119,"Critical","2019-09-29",18,155
"9",1,"Test Team 1",2020-01-07,2020-01-08,1,1,"Critical","2019-08-24",2,156
"9",1,"Test Team 1",2020-01-06,2020-01-07,1,1,"Critical","2019-08-03",1,157
"9",1,"Test Team 1",2020-01-06,2020-01-06,1,0,"Critical","2019-08-09",1,158
"10",1,"Test Team 1",2020-01-07,2020-01-15,1,8,"High","2019-07-26",3,159
"10",1,"Test Team 1",2020-01-07,2021-01-01,0,360,"High","2018-07-15",53,160
