"team","group","first.seen","last.seen"
"1","Test Team 1",2020-01-07,2021-01-01
"1","Test Team 1",2020-01-07,2020-01-14
"1","Test Team 1",2020-01-07,2020-03-10
"1","Test Team 1",2020-01-05,2021-01-01
"1","Test Team 1",2020-01-05,2020-03-03
"1","Test Team 1",2020-01-07,2020-07-28
"1","Test Team 1",2020-01-07,2020-01-14
"1","Test Team 1",2020-01-05,2020-02-16
"1","Test Team 1",2020-01-05,2020-04-07
"1","Test Team 1",2020-01-07,2021-01-01
"1","Test Team 1",2020-01-05,2021-01-01
"1","Test Team 1",2020-01-07,2020-01-15
"1","Test Team 1",2020-01-07,2020-01-13
"1","Test Team 1",2020-01-07,2020-01-14
"2","Test Team 1",2020-01-06,2020-07-13
"2","Test Team 1",2020-01-07,2020-02-11
"2","Test Team 1",2020-01-07,2020-08-18
"2","Test Team 1",2020-01-07,2020-11-03
"2","Test Team 1",2020-01-07,2020-03-10
"2","Test Team 1",2020-01-07,2020-06-07
"2","Test Team 1",2020-01-07,2020-01-15
"2","Test Team 1",2020-01-05,2020-10-20
"2","Test Team 1",2020-01-07,2020-01-28
"2","Test Team 1",2020-01-07,2020-06-16
"2","Test Team 1",2020-01-07,2020-05-12
"2","Test Team 1",2020-01-07,2020-12-22
"2","Test Team 1",2020-01-07,2020-04-28
"2","Test Team 1",2020-01-05,2020-06-28
"2","Test Team 1",2020-01-07,2020-09-01
"2","Test Team 1",2020-01-07,2021-01-01
"2","Test Team 1",2020-01-07,2020-04-28
"2","Test Team 1",2020-01-07,2020-11-17
"2","Test Team 1",2020-01-07,2020-04-28
"2","Test Team 1",2020-01-07,2020-05-12
"2","Test Team 1",2020-01-05,2020-02-11
"2","Test Team 1",2020-01-05,2021-01-01
"3","Test Team 1",2020-01-07,2020-01-08
"3","Test Team 1",2020-01-07,2021-01-01
"3","Test Team 1",2020-01-05,2020-01-07
"3","Test Team 1",2020-01-07,2020-01-07
"3","Test Team 1",2020-01-07,2020-10-20
"3","Test Team 1",2020-01-07,2021-01-01
"3","Test Team 1",2020-01-07,2021-01-01
"3","Test Team 1",2020-01-07,2020-07-07
"3","Test Team 1",2020-01-07,2020-03-03
"3","Test Team 1",2020-01-07,2020-12-20
"3","Test Team 1",2020-01-06,2020-08-25
"4","Test Team 1",2020-01-07,2020-05-19
"4","Test Team 1",2020-01-05,2020-02-04
"5","Test Team 1",2020-01-07,2021-01-01
"5","Test Team 1",2020-01-05,2020-05-12
"5","Test Team 1",2020-01-07,2021-01-01
"5","Test Team 1",2020-01-07,2020-10-13
"5","Test Team 1",2020-01-07,2020-02-03
"5","Test Team 1",2020-01-05,2020-02-04
"5","Test Team 1",2020-01-07,2020-05-12
"5","Test Team 1",2020-01-07,2020-09-08
"5","Test Team 1",2020-01-07,2020-05-12
"5","Test Team 1",2020-01-07,2020-12-15
"5","Test Team 1",2020-01-07,2021-01-01
"5","Test Team 1",2020-01-07,2021-01-01
"5","Test Team 1",2020-01-07,2020-02-05
"5","Test Team 1",2020-01-07,2020-05-05
"6","Test Team 1",2020-01-07,2020-04-12
"6","Test Team 1",2020-01-07,2020-05-26
"6","Test Team 1",2020-01-07,2021-01-01
"6","Test Team 1",2020-01-07,2020-01-28
"7","Test Team 1",2020-01-07,2020-07-07
"7","Test Team 1",2020-01-07,2020-06-16
"7","Test Team 1",2020-01-07,2020-02-18
"7","Test Team 1",2020-01-07,2021-01-01
"7","Test Team 1",2020-01-07,2020-04-14
"7","Test Team 1",2020-01-06,2020-01-07
"7","Test Team 1",2020-01-05,2020-01-14
"7","Test Team 1",2020-01-07,2021-01-01
"7","Test Team 1",2020-01-07,2020-04-19
"7","Test Team 1",2020-01-06,2020-01-14
"7","Test Team 1",2020-01-05,2021-01-01
"7","Test Team 1",2020-01-07,2020-01-12
"7","Test Team 1",2020-01-07,2020-01-08
"7","Test Team 1",2020-01-07,2020-01-08
"7","Test Team 1",2020-01-07,2020-04-20
"7","Test Team 1",2020-01-05,2020-01-08
"7","Test Team 1",2020-01-07,2020-04-07
"7","Test Team 1",2020-01-07,2020-01-08
"7","Test Team 1",2020-01-07,2020-05-12
"8","Test Team 1",2020-01-07,2020-02-16
"8","Test Team 1",2020-01-07,2021-01-01
"8","Test Team 1",2020-01-07,2021-01-01
"8","Test Team 1",2020-01-07,2020-03-03
"8","Test Team 1",2020-01-07,2021-01-01
