"team","week","group","first.seen","last.seen","status","time.diff","fix.avail","escaped"
"1","1","Test Team 1",2020-01-06,2020-05-05,1,120,2019-09-25,1
"1","1","Test Team 1",2020-01-06,2020-01-11,1,5,2020-01-06,0
"1","1","Test Team 1",2020-01-09,2020-01-11,1,2,2020-01-11,0
"1","1","Test Team 1",2020-01-08,2020-01-11,1,3,2020-01-08,0
"2","1","Test Team 1",2020-01-06,2020-01-06,1,0,2020-01-06,0
"2","1","Test Team 1",2020-01-11,2021-01-01,0,356,2019-02-16,1
"2","1","Test Team 1",2020-01-07,2020-06-10,1,155,2020-05-07,0
"2","1","Test Team 1",2020-01-08,2020-01-11,1,3,2019-02-03,1
"2","1","Test Team 1",2020-01-06,2020-01-08,1,2,2020-01-07,0
"2","1","Test Team 1",2020-01-05,2020-01-05,1,0,2020-01-05,0
"2","1","Test Team 1",2020-01-06,2020-03-04,1,58,2019-08-24,1
"2","1","Test Team 1",2020-01-05,2020-04-17,1,103,2020-03-19,0
"2","1","Test Team 1",2020-01-11,2020-01-11,1,0,2020-01-11,0
"2","1","Test Team 1",2020-01-05,2020-01-08,1,3,2020-01-07,0
"2","1","Test Team 1",2020-01-10,2020-01-10,1,0,2020-01-10,0
"2","1","Test Team 1",2020-01-05,2020-05-24,1,140,2019-02-02,1
"2","1","Test Team 1",2020-01-06,2020-01-17,1,11,2020-01-10,0
"2","1","Test Team 1",2020-01-06,2020-01-13,1,7,2019-03-18,1
"2","1","Test Team 1",2020-01-08,2020-01-08,1,0,2020-01-08,0
"2","1","Test Team 1",2020-01-09,2020-04-10,1,92,2019-06-05,1
"2","1","Test Team 1",2020-01-11,2021-01-01,0,356,2021-01-01,0
"3","1","Test Team 1",2020-01-05,2020-04-27,1,113,2019-09-27,1
"3","1","Test Team 1",2020-01-06,2020-07-15,1,191,2020-05-17,0
"3","1","Test Team 1",2020-01-05,2021-01-01,0,362,2021-01-01,0
"4","1","Test Team 1",2020-01-06,2020-01-20,1,14,2020-01-08,0
"4","1","Test Team 1",2020-01-09,2020-05-02,1,114,2019-06-09,1
"4","1","Test Team 1",2020-01-09,2020-02-14,1,36,2020-02-11,0
"4","1","Test Team 1",2020-01-09,2021-01-01,0,358,2021-01-01,0
"4","1","Test Team 1",2020-01-10,2020-03-05,1,55,2020-01-12,0
"4","1","Test Team 1",2020-01-08,2021-01-01,0,359,2020-02-15,0
"4","1","Test Team 1",2020-01-11,2020-04-02,1,82,2019-12-11,1
"4","1","Test Team 1",2020-01-08,2020-03-23,1,75,2019-10-15,1
"4","1","Test Team 1",2020-01-07,2020-03-25,1,78,2020-02-29,0
"4","1","Test Team 1",2020-01-07,2020-02-06,1,30,2020-02-06,0
"4","1","Test Team 1",2020-01-11,2020-03-12,1,61,2020-02-08,0
"4","1","Test Team 1",2020-01-09,2020-02-05,1,27,2020-01-26,0
"4","1","Test Team 1",2020-01-05,2020-03-25,1,80,2019-03-09,1
"4","1","Test Team 1",2020-01-06,2020-03-27,1,81,2020-02-02,0
"5","1","Test Team 1",2020-01-05,2020-07-10,1,187,2020-03-02,0
"5","1","Test Team 1",2020-01-11,2020-01-26,1,15,2020-01-12,0
"5","1","Test Team 1",2020-01-05,2020-02-28,1,54,2020-02-07,0
"5","1","Test Team 1",2020-01-11,2020-04-19,1,99,2020-04-06,0
"5","1","Test Team 1",2020-01-08,2020-01-24,1,16,2019-12-17,1
"5","1","Test Team 1",2020-01-09,2020-02-19,1,41,2020-02-15,0
"5","1","Test Team 1",2020-01-10,2020-02-14,1,35,2020-01-18,0
"5","1","Test Team 1",2020-01-10,2020-01-10,1,0,2019-09-06,1
"5","1","Test Team 1",2020-01-08,2020-05-14,1,127,2019-11-25,1
"5","1","Test Team 1",2020-01-08,2020-04-02,1,85,2019-06-15,1
"5","1","Test Team 1",2020-01-09,2020-01-10,1,1,2020-01-09,0
